id,title,location,category,price,poster,date_posted,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
180,Femme de ménage,Ménage - Colombes (92700),N/A,A définir,Katebo,22/09/2025,N/A,N/A,No,N/A,Je recherche une personne pour faire le ménage 4 heures par mois (2h/15 jours ou bien une fois 4h/mois) le lundi ou le jeudi après-midi pour...,listing_page,No,https://www.jemepropose.com/annonces/menage/femme-de-menage+10494225/
181,Recherche modèle pour collaboration shooting lifestyle,Modèle photo - Paris (75000),N/A,Échange,Nicky Lebel,21/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/modele-photo/recherche-modele-pour-collaboration-shooting-lifestyle+10494156/
182,Recherche heures de ménage,Ménage - Vaux-sur-Mer (17640),N/A,15.00 € - De l'heure,sabrina17640,20/09/2025,N/A,N/A,No,N/A,Recherche heures de ménage,listing_page,No,https://www.jemepropose.com/annonces/menage/recherche-heures-de-menage+10494116/
183,Cours d'anglais,Cours d'anglais - Marcoussis (91460),N/A,10.00 € - De l'heure,jfnt,20/09/2025,N/A,N/A,No,N/A,"Je souhaiterais mettre en place un accompagnement en anglais pour mes deux enfants, qui rencontrent des difficultés et auraient besoin de...",listing_page,No,https://www.jemepropose.com/annonces/cours-d-anglais/cours-danglais+10494108/
184,aide à l'écriture,Écrivain public - Valras-Plage (34350),N/A,10.00 € - De l'heure,zahnd.laurence,19/09/2025,N/A,N/A,No,N/A,"Bonjour j'écris depuis plus de 30 ans et vous propose mon aide pour écrire un roman, corrections, aide à l'écriture ou soutien scolaire...",listing_page,No,https://www.jemepropose.com/annonces/ecrivain-public/aide-a-lecriture+10494043/
185,Recherche chef privé à domicile,Chef de cuisine - Lyon (69000),N/A,A définir,cnahuelbg,17/09/2025,N/A,N/A,No,N/A,Famille à Lyon recherche un chef personnel disponible tous les jours pour préparer des repas équilibrés et variés à domicile. Missions :...,listing_page,No,https://www.jemepropose.com/annonces/chef-de-cuisine/recherche-chef-prive-a-domicile+10493972/
186,RECHERCHE FEMME DE MENAGE,Ménage - Saint-Maur-des-Fossés (94100),N/A,A définir,dgc5194,17/09/2025,N/A,N/A,No,N/A,RECHERCHONS UNE PROFESSIONNELLE du ménage et du repassage,listing_page,No,https://www.jemepropose.com/annonces/menage/recherche-femme-de-menage+10493952/
187,Ménage à domicile,Ménage - Toulouse (31000),N/A,15.00 € - De l'heure,jeanleonfr,17/09/2025,N/A,N/A,No,N/A,Je recherche activement une personne pour faire le ménage chez moi. H/f dynamique. Pas besoin d'être professionnel. Pour plus d'informations...,listing_page,No,https://www.jemepropose.com/annonces/menage/menage-a-domicile+10493914/
188,Aide ménagère,Ménage - Trézioux (63520),N/A,15.00 € - De l'heure,aurélie9163,16/09/2025,N/A,N/A,No,N/A,"Recherche des heures de ménage,  repassage.",listing_page,No,https://www.jemepropose.com/annonces/menage/aide-menagere+10493885/
189,Recherche baby sitter mardi et jeudi soir,Garde d'enfants - Antony (92160),N/A,10.00 € - De l'heure,Lola courgette,16/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/garde-d-enfants/recherche-baby-sitter-mardi-et-jeudi-soir+10493880/
190,Serveuse HOtesse poir évènements,Serveuse - Serris (77700),N/A,A définir,SandraMarche,14/09/2025,N/A,N/A,No,N/A,"Bonjour ,",listing_page,No,https://www.jemepropose.com/annonces/serveuse/serveuse-hotesse-poir-evenements+10493778/
191,Recherche danseur(euse) expérimenté(e),Cours de danse - Le Plessis-Bouchard (95130),N/A,A définir,cpul,14/09/2025,N/A,N/A,No,N/A,"Bonjour, je recherche une personne expérimentée pouvant me proposer des cours de danse de salon, MBK, rock à un tarif raisonnable.",listing_page,No,https://www.jemepropose.com/annonces/cours-de-danse/recherche-danseureuse-experimentee+10493772/
192,Recherche aide ménagère 2 jours par semaine,Ménage - Châlons-en-Champagne (51000),N/A,A définir,Leïla et Alberto,14/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/recherche-aide-menagere-2-jours-par-semaine+10493765/
193,🚸 Recherche accompagnant(e) pour trajets école → football – Décines,Garde d'enfants - Vaulx-en-Velin (69120),N/A,A définir,vanessa.edjo,11/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/garde-d-enfants/recherche-accompagnante-pour-trajets-ecole-football-decines+10493650/
194,Emplois de menage a domicile,Ménage - Créteil (94000),N/A,300.00 € - À la semaine,Phillipe5,11/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/menage/emplois-de-menage-a-domicile+10493637/
195,massage,Massage & Reiki - Lieusaint (77127),N/A,A définir,SAMU77,11/09/2025,N/A,N/A,No,N/A,bonjour massage détente merci.............,listing_page,No,https://www.jemepropose.com/annonces/massage-reiki/massage+10493601/
196,Fixation murale équipement lourd,Bricolage - Feucherolles (78810),N/A,A définir,Feucherolles,11/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/bricolage/fixation-murale-equipement-lourd+10493597/
197,URGENT-AIDE AU DEMENAGEMENT,Déménagement - Monsempron-Libos (47500),N/A,A définir,Pat47500,11/09/2025,N/A,N/A,No,N/A,"Bonjour,",listing_page,No,https://www.jemepropose.com/annonces/demenagement/urgent-aide-au-demenagement+10493572/
198,Monteur meuble,Bricolage - Villefontaine (38090),N/A,A définir,Queen2014,11/09/2025,N/A,N/A,No,N/A,Je cherche quelqu’un pour monter une armoire porte coulissante sur Villefontaine,listing_page,No,https://www.jemepropose.com/annonces/bricolage/monteur-meuble+10493570/
199,joints,Bricolage - Moissy-Cramayel (77550),N/A,A définir,SAMU77,10/09/2025,N/A,N/A,No,N/A,joints douche intérieur et extérieur . merci,listing_page,No,https://www.jemepropose.com/annonces/bricolage/joints+10493543/
200,aide menagere,Ménage - Épineau-les-Voves (89400),N/A,20.00 € - De l'heure,licorne110721,10/09/2025,N/A,N/A,No,N/A,bonjour je recherche des heures de menages et repassage je suis disponible immediatement,listing_page,No,https://www.jemepropose.com/annonces/menage/aide-menagere+10493496/
