id,title,location,category,price,poster,date_posted,source,vertical,poster_type,subject_category,instruction_lang,level,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
N/A,Acheter une plante d'extérieur / plan de légume - Dombasle-sur-Meurthe,France,N/A,20€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/0/14/0/0/location-vente/Decoration-d-exterieur
N/A,Acheter une pièce auto / pièce moto - Petit-Fayt,France,N/A,20€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",N/A,listing_page,No,https://www.allovoisins.com/r/0/79/0/0/location-vente/Remorque-accessoires-auto
N/A,Louer un nettoyeur haute pression / karcher - Bordeaux,France,N/A,19€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/490/11/49172/0/location-Nettoyeur-haute-pression-karcher-Bordeaux
N/A,Recherche Réparation objets à Cergy,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",N/A,listing_page,No,https://www.allovoisins.com/v/reparation-objets
N/A,Recherche Cours de couture à Villeurbanne,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",N/A,listing_page,No,https://www.allovoisins.com/v/cours-de-couture
N/A,Prêt perceuse - Nantes,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/126/2/24086/0/location-Perceuse-Nantes
N/A,Location maison / villa - Muret,France,N/A,900€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,NLP Analysis: Strong on-site indicators (score: 2 vs 0),Durée : 700 jours,detail_page,No,https://www.allovoisins.com/r/4343/87/19341/0/location-Maison-villa-Muret
N/A,Louer une surfaceuse ponceuse de sol - Leigneux,France,N/A,20€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/279/3/23519/0/location-Surfaceuse-ponceuse-de-sol-Leigneux
N/A,Acheter des bois / bois de chauffage / bastaing - Condé-sur-Vesgre,France,N/A,1€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",Bois / Bois de chauffage / Bastaing Condé-sur-Vesgre,detail_page,No,https://www.allovoisins.com/r/5228/5/40110/0/location-Bois-bois-de-chauffage-bastaing-Conde-sur-vesgre
N/A,Acheter une plante d'extérieur / plan de légume - Dombasle-sur-Meurthe,France,N/A,20€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,"NLP Analysis: Ambiguous signals (remote: 0, onsite: 0)",Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/613/14/28059/0/location-Plante-d-exterieur-plan-de-legume-Dombasle-sur-meurthe
