id,title,location,category,price,poster,date_posted,source,vertical,poster_type,subject_category,instruction_lang,level,classification,confidence,is_remote,reasoning,description_preview,description_source,was_reanalyzed,url
N/A,Cherche Coach autres sports à Lacroix-Falgarde,France,N/A,N/A,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,MEDIUM,No,LLM: Coach sports à Lacroix-Falgarde,N/A,listing_page,No,https://www.allovoisins.com/r/0/289/0/0/service/Coach-autres-sports
N/A,Louer un groupe électrogène - Saint-Maxent,France,N/A,39€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location spécifique en France,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/250/3/40852/0/location-Groupe-electrogene-Saint-maxent
N/A,Louer un broyeur de végétaux - Saint-Étienne-de-Montluc,France,N/A,200€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Broyeur de végétaux nécessite présence physique,Durûˋe : 1 jour,detail_page,No,https://www.allovoisins.com/r/436/11/24194/0/location-Broyeur-de-vegetaux-Saint-etienne-de-montluc
N/A,Louer un carton de rangement / carton de déménagement - Rodez,France,N/A,1€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,Obvious on-site work: ménage,N/A,listing_page,No,https://www.allovoisins.com/r/352/7/10529/0/location-Carton-de-rangement-carton-de-demenagement-Rodez
N/A,Louer une fourche à cailloux - Saint-Romain-en-Gal,France,N/A,100€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Travail physique requis,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/468/11/36427/0/location-Fourche-a-cailloux-Saint-romain-en-gal
N/A,Louer une perceuse - Rouen,France,N/A,11€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location spécifique à Rouen,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/126/2/38797/0/location-Perceuse-Rouen
N/A,Location décolleuse à papier peint - Guyancourt,France,N/A,12€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Travail physique requis,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/70/2/40185/0/location-Decolleuse-a-papier-peint-Guyancourt
N/A,Louer un terre / terreau / fumier - L'Isle-d'Abeau,France,N/A,1€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,"LLM: Terre, terreau, fumier nécessite présence physique",N/A,listing_page,No,https://www.allovoisins.com/r/5251/94/21695/0/location-Terre-terreau-fumier-L-isle-d-abeau
N/A,Location tondeuse à gazon - Jarville-la-Malgrange,France,N/A,15€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location tondeuse à gazon,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/529/11/28132/0/location-Tondeuse-a-gazon-Jarville-la-malgrange
N/A,Louer une tonnelle - Rezé,France,N/A,50€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Louer une tonnelle nécessite présence physique,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/582/12/24210/0/location-Tonnelle-Reze
N/A,Location fourgonette 9/12 m3 - Fontenay-le-Fleury,France,N/A,30€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location fourgonette nécessite présence physique,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/4208/78/40196/0/location-Fourgonette-9-12-m3-Fontenay-le-fleury
N/A,Louer un véhicule utilitaire / camionnette - Nangis,France,N/A,50€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,Obvious on-site work: camion,N/A,listing_page,No,https://www.allovoisins.com/r/5142/78/39791/0/location-Vehicule-utilitaire-camionnette-Nangis
N/A,Location plaque vibrante - Le Mans,France,N/A,25€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,LLM: Pas d'indicateurs de télétravail,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/262/3/37733/0/location-Plaque-vibrante-Le-mans
N/A,Acheter un téléphone portable iphone 6 plus - Avignon,France,N/A,150€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,LLM: Acheter un téléphone,N/A,listing_page,No,https://www.allovoisins.com/r/5223/34/66015/0/location-Telephone-portable-iphone-6-plus-Avignon
N/A,Location cuve - Treis-Sants-en-Ouche,France,N/A,20€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,LLM: Pas d'indication de travail à distance,N/A,listing_page,No,https://www.allovoisins.com/r/240/3/81142/0/location-Cuve-Treis-sants-en-ouche
N/A,Location tondeuse à gazon - Morangis,France,N/A,15€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location tondeuse à gazon,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/529/11/50001/0/location-Tondeuse-a-gazon-Morangis
N/A,Louer un pistolet à peinture - Colombier-Fontaine,France,N/A,20€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,Obvious on-site work: peinture,N/A,listing_page,No,https://www.allovoisins.com/r/150/2/16176/0/location-Pistolet-a-peinture-Colombier-fontaine
N/A,Location coffre de toit - Sérignan,France,N/A,35€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Pas de travail à distance indiqué,Durée : 15 jours,detail_page,No,https://www.allovoisins.com/r/4216/79/20641/0/location-Coffre-de-toit-Serignan
N/A,Cherche Cuisinier - Chef à domicile à Espelette,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,Obvious on-site work: cuisinier,N/A,listing_page,No,https://www.allovoisins.com/v/cuisinier-chef-a-domicile
N/A,Louer un nettoyeur haute pression / karcher - Pierrelaye,France,N/A,10€,N/A,N/A,allovoisins,general,employer,N/A,N/A,N/A,on-site,HIGH,No,LLM: Nettoyage haute pression sur place,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/490/11/44593/0/location-Nettoyeur-haute-pression-karcher-Pierrelaye
N/A,Cherche Partenaire Loisirs - Autres sports à Lyon,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,LLM: Pas d'indication de travail à distance,N/A,listing_page,No,https://www.allovoisins.com/r/0/273/0/0/service/Partenaire-loisirs-autres-sports
N/A,Location réchaud électrique - Le Bouscat,France,N/A,10€,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location réchaud électrique,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/697/17/19878/0/location-Rechaud-electrique-Le-bouscat
N/A,Location scooter 50cc - Pau,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,HIGH,No,LLM: Location scooter 50cc à Pau,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/4253/80/33909/0/location-Scooter-50cc-Pau
N/A,Location diable - Paris,France,N/A,N/A,N/A,N/A,allovoisins,general,unknown,N/A,N/A,N/A,on-site,MEDIUM,No,LLM: Pas d'indicateurs de télétravail,Durée : 1 jour,detail_page,No,https://www.allovoisins.com/r/364/7/51470/0/location-Diable-Paris-19e-arrondissement
